,horario,dia,mes,energia,cor_atrasada,cor_principal,med_CO2,fat_pot_atrasado,fat_pot_principal,seg_no_dia,est_semanal,dia_semana,carga
58,14:45:00,1,1,4.1,0.0,22.1,0.0,100.0,18.24,53100,Dia da Semana,Segunda-feira,Carga leve
59,15:00:00,1,1,3.64,0.0,16.7,0.0,100.0,21.3,54000,Dia da Semana,Segunda-feira,Carga leve
60,15:15:00,1,1,3.92,0.0,19.33,0.0,100.0,19.87,54900,Dia da Semana,Segunda-feira,Carga leve
61,15:30:00,1,1,4.1,0.0,21.35,0.0,100.0,18.86,55800,Dia da Semana,Segunda-feira,Carga leve
62,15:45:00,1,1,3.6,0.0,16.81,0.0,100.0,20.94,56700,Dia da Semana,Segunda-feira,Carga leve
63,16:00:00,1,1,3.96,0.0,20.45,0.0,100.0,19.01,57600,Dia da Semana,Segunda-feira,Carga leve
64,16:15:00,1,1,4.0,0.0,20.77,0.0,100.0,18.91,58500,Dia da Semana,Segunda-feira,Carga leve
65,16:30:00,1,1,3.6,0.0,16.81,0.0,100.0,20.94,59400,Dia da Semana,Segunda-feira,Carga leve
66,16:45:00,1,1,4.07,0.0,21.64,0.0,100.0,18.48,60300,Dia da Semana,Segunda-feira,Carga leve
67,17:00:00,1,1,3.82,0.0,19.19,0.0,100.0,19.52,61200,Dia da Semana,Segunda-feira,Carga leve
68,17:15:00,1,1,3.56,0.0,16.96,0.0,100.0,20.54,62100,Dia da Semana,Segunda-feira,Carga leve
69,17:30:00,1,1,4.1,0.0,23.51,0.0,100.0,17.18,63000,Dia da Semana,Segunda-feira,Carga leve
70,17:45:00,1,1,3.6,0.0,17.39,0.0,100.0,20.27,63900,Dia da Semana,Segunda-feira,Carga leve
71,18:00:00,1,1,3.6,0.0,17.35,0.0,100.0,20.32,64800,Dia da Semana,Segunda-feira,Carga leve
72,18:15:00,1,1,4.0,0.0,8.96,0.0,100.0,40.77,65700,Dia da Semana,Segunda-feira,Carga leve
73,18:30:00,1,1,3.42,0.0,5.47,0.0,100.0,53.01,66600,Dia da Semana,Segunda-feira,Carga leve
74,18:45:00,1,1,3.67,0.0,16.24,0.0,100.0,22.04,67500,Dia da Semana,Segunda-feira,Carga leve
75,19:00:00,1,1,4.07,0.0,22.57,0.0,100.0,17.75,68400,Dia da Semana,Segunda-feira,Carga leve
76,19:15:00,1,1,3.53,0.0,17.39,0.0,100.0,19.89,69300,Dia da Semana,Segunda-feira,Carga leve
77,19:30:00,1,1,3.85,0.0,20.74,0.0,100.0,18.25,70200,Dia da Semana,Segunda-feira,Carga leve
78,19:45:00,1,1,3.96,0.0,20.88,0.0,100.0,18.63,71100,Dia da Semana,Segunda-feira,Carga leve
79,20:00:00,1,1,3.56,0.0,17.35,0.0,100.0,20.1,72000,Dia da Semana,Segunda-feira,Carga leve
80,20:15:00,1,1,4.03,0.0,22.54,0.0,100.0,17.6,72900,Dia da Semana,Segunda-feira,Carga leve
81,20:30:00,1,1,3.74,0.0,19.55,0.0,100.0,18.79,73800,Dia da Semana,Segunda-feira,Carga leve
82,20:45:00,1,1,3.56,0.0,17.42,0.0,100.0,20.02,74700,Dia da Semana,Segunda-feira,Carga leve
83,21:00:00,1,1,4.21,0.0,24.26,0.0,100.0,17.1,75600,Dia da Semana,Segunda-feira,Carga leve
84,21:15:00,1,1,3.56,0.0,17.75,0.0,100.0,19.66,76500,Dia da Semana,Segunda-feira,Carga leve
85,21:30:00,1,1,3.53,0.0,17.42,0.0,100.0,19.86,77400,Dia da Semana,Segunda-feira,Carga leve
86,21:45:00,1,1,4.25,0.0,25.2,0.0,100.0,16.63,78300,Dia da Semana,Segunda-feira,Carga leve
87,22:00:00,1,1,3.53,0.0,17.5,0.0,100.0,19.77,79200,Dia da Semana,Segunda-feira,Carga leve
88,22:15:00,1,1,3.56,1.44,10.08,0.0,92.7,33.3,80100,Dia da Semana,Segunda-feira,Carga leve
89,22:30:00,1,1,3.67,4.21,0.0,0.0,65.71,100.0,81000,Dia da Semana,Segunda-feira,Carga leve
90,22:45:00,1,1,3.24,3.35,0.0,0.0,69.52,100.0,81900,Dia da Semana,Segunda-feira,Carga leve
91,23:00:00,1,1,3.53,3.74,0.0,0.0,68.64,100.0,82800,Dia da Semana,Segunda-feira,Carga leve
92,23:15:00,1,1,3.53,3.42,0.0,0.0,71.82,100.0,83700,Dia da Semana,Segunda-feira,Carga leve
93,23:30:00,1,1,3.24,2.95,0.0,0.0,73.94,100.0,84600,Dia da Semana,Segunda-feira,Carga leve
94,23:45:00,1,1,3.67,3.96,0.0,0.0,67.97,100.0,85500,Dia da Semana,Segunda-feira,Carga leve
95,00:00:00,1,1,3.42,3.46,0.0,0.0,70.3,100.0,0,Dia da Semana,Segunda-feira,Carga leve
96,00:15:00,1,2,3.2,3.1,0.0,0.0,71.82,100.0,900,Dia da Semana,Terca-feira,Carga leve
97,00:30:00,1,2,3.85,4.61,0.0,0.0,64.1,100.0,1800,Dia da Semana,Terca-feira,Carga leve
98,00:45:00,1,2,3.28,3.67,0.0,0.0,66.64,100.0,2700,Dia da Semana,Terca-feira,Carga leve
99,01:00:00,1,2,3.35,3.6,0.0,0.0,68.12,100.0,3600,Dia da Semana,Terca-feira,Carga leve
100,01:15:00,1,2,3.89,4.72,0.0,0.0,63.6,100.0,4500,Dia da Semana,Terca-feira,Carga leve
101,01:30:00,1,2,3.28,3.53,0.0,0.0,68.07,100.0,5400,Dia da Semana,Terca-feira,Carga leve
102,01:45:00,1,2,3.46,3.96,0.0,0.0,65.8,100.0,6300,Dia da Semana,Terca-feira,Carga leve
103,02:00:00,1,2,3.78,4.82,0.0,0.0,61.71,100.0,7200,Dia da Semana,Terca-feira,Carga leve
104,02:15:00,1,2,3.31,3.53,0.0,0.0,68.4,100.0,8100,Dia da Semana,Terca-feira,Carga leve
105,02:30:00,1,2,3.6,4.36,0.0,0.0,63.67,100.0,9000,Dia da Semana,Terca-feira,Carga leve
106,02:45:00,1,2,3.64,4.39,0.0,0.0,63.83,100.0,9900,Dia da Semana,Terca-feira,Carga leve
107,03:00:00,1,2,3.28,3.71,0.0,0.0,66.24,100.0,10800,Dia da Semana,Terca-feira,Carga leve
108,03:15:00,1,2,3.71,4.57,0.0,0.0,63.03,100.0,11700,Dia da Semana,Terca-feira,Carga leve
109,03:30:00,1,2,3.56,4.03,0.0,0.0,66.21,100.0,12600,Dia da Semana,Terca-feira,Carga leve
110,03:45:00,1,2,3.24,3.49,0.0,0.0,68.04,100.0,13500,Dia da Semana,Terca-feira,Carga leve
111,04:00:00,1,2,3.89,4.64,0.0,0.0,64.25,100.0,14400,Dia da Semana,Terca-feira,Carga leve
112,04:15:00,1,2,3.28,3.42,0.0,0.0,69.22,100.0,15300,Dia da Semana,Terca-feira,Carga leve
113,04:30:00,1,2,3.28,3.49,0.0,0.0,68.48,100.0,16200,Dia da Semana,Terca-feira,Carga leve
114,04:45:00,1,2,3.96,4.68,0.0,0.0,64.59,100.0,17100,Dia da Semana,Terca-feira,Carga leve
115,05:00:00,1,2,3.24,3.42,0.0,0.0,68.77,100.0,18000,Dia da Semana,Terca-feira,Carga leve
116,05:15:00,1,2,3.46,3.78,0.0,0.0,67.52,100.0,18900,Dia da Semana,Terca-feira,Carga leve
117,05:30:00,1,2,3.67,4.07,0.0,0.0,66.97,100.0,19800,Dia da Semana,Terca-feira,Carga leve
118,05:45:00,1,2,3.24,3.42,0.0,0.0,68.77,100.0,20700,Dia da Semana,Terca-feira,Carga leve
119,06:00:00,1,2,3.67,3.96,0.0,0.0,67.97,100.0,21600,Dia da Semana,Terca-feira,Carga leve
120,06:15:00,1,2,3.53,3.78,0.0,0.0,68.25,100.0,22500,Dia da Semana,Terca-feira,Carga leve
121,06:30:00,1,2,3.2,3.24,0.0,0.0,70.27,100.0,23400,Dia da Semana,Terca-feira,Carga leve
122,06:45:00,1,2,3.78,4.07,0.0,0.0,68.05,100.0,24300,Dia da Semana,Terca-feira,Carga leve
123,07:00:00,1,2,3.35,3.35,0.0,0.0,70.71,100.0,25200,Dia da Semana,Terca-feira,Carga leve
124,07:15:00,1,2,3.53,3.49,0.0,0.0,71.11,100.0,26100,Dia da Semana,Terca-feira,Carga leve
125,07:30:00,1,2,6.3,4.57,0.0,0.0,80.95,100.0,27000,Dia da Semana,Terca-feira,Carga leve
126,07:45:00,1,2,6.05,4.79,0.0,0.0,78.4,100.0,27900,Dia da Semana,Terca-feira,Carga leve
127,08:00:00,1,2,6.73,4.54,0.0,0.0,82.9,100.0,28800,Dia da Semana,Terca-feira,Carga leve
128,08:15:00,1,2,29.02,18.83,0.07,0.0,83.89,100.0,29700,Dia da Semana,Terca-feira,Carga leve
129,08:30:00,1,2,46.19,28.66,0.0,0.0,84.97,100.0,30600,Dia da Semana,Terca-feira,Carga leve
130,08:45:00,1,2,52.06,35.32,0.0,0.0,82.75,100.0,31500,Dia da Semana,Terca-feira,Carga leve
131,09:00:00,1,2,56.2,12.53,0.11,0.0,97.6,100.0,32400,Dia da Semana,Terca-feira,Carga leve
132,09:15:00,1,2,56.84,8.32,0.0,0.0,98.95,100.0,33300,Dia da Semana,Terca-feira,Carga media
133,09:30:00,1,2,51.26,4.54,0.94,0.0,99.61,99.98,34200,Dia da Semana,Terca-feira,Carga media
134,09:45:00,1,2,48.13,2.34,1.15,0.0,99.88,99.97,35100,Dia da Semana,Terca-feira,Carga media
135,10:00:00,1,2,52.81,7.06,0.54,0.0,99.12,99.99,36000,Dia da Semana,Terca-feira,Carga media
136,10:15:00,1,2,54.79,7.52,0.14,0.0,99.07,100.0,36900,Dia da Semana,Terca-feira,Carga maxima
137,10:30:00,1,2,53.21,8.35,0.11,0.0,98.79,100.0,37800,Dia da Semana,Terca-feira,Carga maxima
138,10:45:00,1,2,80.21,32.4,0.0,0.0,92.72,100.0,38700,Dia da Semana,Terca-feira,Carga maxima
139,11:00:00,1,2,77.58,25.49,0.0,0.0,95.0,100.0,39600,Dia da Semana,Terca-feira,Carga maxima
140,11:15:00,1,2,128.52,70.85,0.0,0.0,87.57,100.0,40500,Dia da Semana,Terca-feira,Carga maxima
141,11:30:00,1,2,144.47,78.48,0.0,0.0,87.87,100.0,41400,Dia da Semana,Terca-feira,Carga maxima
142,11:45:00,1,2,90.86,54.29,0.0,0.0,85.84,100.0,42300,Dia da Semana,Terca-feira,Carga maxima
143,12:00:00,1,2,123.3,66.06,0.0,0.0,88.15,100.0,43200,Dia da Semana,Terca-feira,Carga maxima
144,12:15:00,1,2,19.22,5.54,18.9,0.0,96.09,71.3,44100,Dia da Semana,Terca-feira,Carga media
145,12:30:00,1,2,8.46,0.0,25.92,0.0,100.0,31.03,45000,Dia da Semana,Terca-feira,Carga media
146,12:45:00,1,2,8.24,0.0,25.34,0.0,100.0,30.92,45900,Dia da Semana,Terca-feira,Carga media
147,13:00:00,1,2,8.03,0.0,25.49,0.0,100.0,30.05,46800,Dia da Semana,Terca-feira,Carga media
148,13:15:00,1,2,79.67,27.29,6.52,0.0,94.6,99.67,47700,Dia da Semana,Terca-feira,Carga media
149,13:30:00,1,2,97.85,46.8,0.0,0.0,90.21,100.0,48600,Dia da Semana,Terca-feira,Carga media
150,13:45:00,1,2,124.45,49.79,0.0,0.0,92.85,100.0,49500,Dia da Semana,Terca-feira,Carga media
151,14:00:00,1,2,108.61,43.34,0.0,0.0,92.88,100.0,50400,Dia da Semana,Terca-feira,Carga media
152,14:15:00,1,2,123.12,55.26,0.0,0.0,91.23,100.0,51300,Dia da Semana,Terca-feira,Carga media
153,14:30:00,1,2,129.1,53.5,0.0,0.0,92.38,100.0,52200,Dia da Semana,Terca-feira,Carga media
154,14:45:00,1,2,82.08,27.58,0.0,0.0,94.79,100.0,53100,Dia da Semana,Terca-feira,Carga media
155,15:00:00,1,2,143.89,60.91,0.0,0.0,92.09,100.0,54000,Dia da Semana,Terca-feira,Carga media
156,15:15:00,1,2,86.9,34.27,0.0,0.0,93.03,100.0,54900,Dia da Semana,Terca-feira,Carga media
157,15:30:00,1,2,141.44,62.57,0.0,0.0,91.45,100.0,55800,Dia da Semana,Terca-feira,Carga media
158,15:45:00,1,2,116.53,52.88,0.0,0.0,91.06,100.0,56700,Dia da Semana,Terca-feira,Carga media
159,16:00:00,1,2,129.31,61.16,0.0,0.0,90.4,100.0,57600,Dia da Semana,Terca-feira,Carga media
160,16:15:00,1,2,136.44,56.77,0.0,0.0,92.33,100.0,58500,Dia da Semana,Terca-feira,Carga media
161,16:30:00,1,2,85.72,34.85,0.0,0.0,92.64,100.0,59400,Dia da Semana,Terca-feira,Carga media
162,16:45:00,1,2,147.46,65.27,0.0,0.0,91.44,100.0,60300,Dia da Semana,Terca-feira,Carga media
163,17:00:00,1,2,86.94,30.78,0.0,0.0,94.27,100.0,61200,Dia da Semana,Terca-feira,Carga media
164,17:15:00,1,2,67.25,25.81,0.0,0.0,93.36,100.0,62100,Dia da Semana,Terca-feira,Carga maxima
165,17:30:00,1,2,115.78,50.04,0.0,0.0,91.79,100.0,63000,Dia da Semana,Terca-feira,Carga maxima
166,17:45:00,1,2,113.11,34.63,0.0,0.0,95.62,100.0,63900,Dia da Semana,Terca-feira,Carga maxima
167,18:00:00,1,2,76.75,11.74,1.04,0.0,98.85,99.99,64800,Dia da Semana,Terca-feira,Carga maxima
168,18:15:00,1,2,41.9,15.23,0.14,0.0,93.98,100.0,65700,Dia da Semana,Terca-feira,Carga maxima
169,18:30:00,1,2,37.4,19.94,0.0,0.0,88.24,100.0,66600,Dia da Semana,Terca-feira,Carga maxima
170,18:45:00,1,2,40.25,8.82,0.5,0.0,97.68,99.99,67500,Dia da Semana,Terca-feira,Carga maxima
171,19:00:00,1,2,34.92,1.98,1.58,0.0,99.84,99.9,68400,Dia da Semana,Terca-feira,Carga maxima
172,19:15:00,1,2,41.36,6.44,0.43,0.0,98.81,99.99,69300,Dia da Semana,Terca-feira,Carga maxima
173,19:30:00,1,2,35.96,2.52,1.37,0.0,99.76,99.93,70200,Dia da Semana,Terca-feira,Carga maxima
174,19:45:00,1,2,39.42,5.29,0.47,0.0,99.11,99.99,71100,Dia da Semana,Terca-feira,Carga maxima
175,20:00:00,1,2,38.16,4.68,0.5,0.0,99.26,99.99,72000,Dia da Semana,Terca-feira,Carga maxima
176,20:15:00,1,2,33.23,1.51,3.96,0.0,99.9,99.3,72900,Dia da Semana,Terca-feira,Carga media
177,20:30:00,1,2,25.88,0.0,12.13,0.0,100.0,90.55,73800,Dia da Semana,Terca-feira,Carga media
178,20:45:00,1,2,10.84,0.0,23.22,0.0,100.0,42.3,74700,Dia da Semana,Terca-feira,Carga media
179,21:00:00,1,2,9.29,0.0,23.51,0.0,100.0,36.75,75600,Dia da Semana,Terca-feira,Carga media
180,21:15:00,1,2,6.98,0.0,25.16,0.0,100.0,26.73,76500,Dia da Semana,Terca-feira,Carga media
181,21:30:00,1,2,5.11,0.0,26.5,0.0,100.0,18.93,77400,Dia da Semana,Terca-feira,Carga media
182,21:45:00,1,2,5.08,0.0,26.42,0.0,100.0,18.88,78300,Dia da Semana,Terca-feira,Carga media
183,22:00:00,1,2,5.04,0.0,26.46,0.0,100.0,18.71,79200,Dia da Semana,Terca-feira,Carga media
184,22:15:00,1,2,4.93,1.84,15.44,0.0,93.69,30.42,80100,Dia da Semana,Terca-feira,Carga maxima
185,22:30:00,1,2,4.64,5.22,0.0,0.0,66.44,100.0,81000,Dia da Semana,Terca-feira,Carga maxima
186,22:45:00,1,2,4.68,5.18,0.0,0.0,67.04,100.0,81900,Dia da Semana,Terca-feira,Carga maxima
187,23:00:00,1,2,4.68,5.11,0.0,0.0,67.54,100.0,82800,Dia da Semana,Terca-feira,Carga maxima
188,23:15:00,1,2,4.57,4.54,0.0,0.0,70.94,100.0,83700,Dia da Semana,Terca-feira,Carga leve
189,23:30:00,1,2,4.57,4.25,0.0,0.0,73.23,100.0,84600,Dia da Semana,Terca-feira,Carga leve
190,23:45:00,1,2,4.54,4.25,0.0,0.0,73.0,100.0,85500,Dia da Semana,Terca-feira,Carga leve
191,00:00:00,1,2,4.61,4.21,0.0,0.0,73.84,100.0,0,Dia da Semana,Terca-feira,Carga leve
192,00:15:00,1,3,4.61,4.61,0.0,0.0,70.71,100.0,900,Dia da Semana,Quarta-feira,Carga leve
193,00:30:00,1,3,4.61,4.54,0.0,0.0,71.25,100.0,1800,Dia da Semana,Quarta-feira,Carga leve
194,00:45:00,1,3,4.57,4.5,0.0,0.0,71.25,100.0,2700,Dia da Semana,Quarta-feira,Carga leve
195,01:00:00,1,3,4.57,4.61,0.0,0.0,70.4,100.0,3600,Dia da Semana,Quarta-feira,Carga leve
196,01:15:00,1,3,4.64,4.46,0.0,0.0,72.1,100.0,4500,Dia da Semana,Quarta-feira,Carga leve
197,01:30:00,1,3,4.64,4.57,0.0,0.0,71.25,100.0,5400,Dia da Semana,Quarta-feira,Carga leve
198,01:45:00,1,3,4.61,4.79,0.0,0.0,69.34,100.0,6300,Dia da Semana,Quarta-feira,Carga leve
199,02:00:00,1,3,4.57,4.5,0.0,0.0,71.25,100.0,7200,Dia da Semana,Quarta-feira,Carga leve
200,02:15:00,1,3,4.61,4.39,0.0,0.0,72.42,100.0,8100,Dia da Semana,Quarta-feira,Carga leve
201,02:30:00,1,3,4.64,4.75,0.0,0.0,69.88,100.0,9000,Dia da Semana,Quarta-feira,Carga leve
202,02:45:00,1,3,4.64,4.75,0.0,0.0,69.88,100.0,9900,Dia da Semana,Quarta-feira,Carga leve
203,03:00:00,1,3,4.57,4.75,0.0,0.0,69.33,100.0,10800,Dia da Semana,Quarta-feira,Carga leve
204,03:15:00,1,3,4.64,5.11,0.0,0.0,67.22,100.0,11700,Dia da Semana,Quarta-feira,Carga leve
205,03:30:00,1,3,4.64,4.72,0.0,0.0,70.1,100.0,12600,Dia da Semana,Quarta-feira,Carga leve
206,03:45:00,1,3,4.68,4.68,0.0,0.0,70.71,100.0,13500,Dia da Semana,Quarta-feira,Carga leve
207,04:00:00,1,3,4.57,4.46,0.0,0.0,71.57,100.0,14400,Dia da Semana,Quarta-feira,Carga leve
208,04:15:00,1,3,4.54,4.32,0.0,0.0,72.44,100.0,15300,Dia da Semana,Quarta-feira,Carga leve
209,04:30:00,1,3,4.61,4.46,0.0,0.0,71.87,100.0,16200,Dia da Semana,Quarta-feira,Carga leve
210,04:45:00,1,3,4.57,4.32,0.0,0.0,72.67,100.0,17100,Dia da Semana,Quarta-feira,Carga leve
211,05:00:00,1,3,4.61,4.32,0.0,0.0,72.97,100.0,18000,Dia da Semana,Quarta-feira,Carga leve
212,05:15:00,1,3,4.54,4.14,0.0,0.0,73.89,100.0,18900,Dia da Semana,Quarta-feira,Carga leve
213,05:30:00,1,3,4.57,4.21,0.0,0.0,73.55,100.0,19800,Dia da Semana,Quarta-feira,Carga leve
214,05:45:00,1,3,4.57,4.43,0.0,0.0,71.8,100.0,20700,Dia da Semana,Quarta-feira,Carga leve
215,06:00:00,1,3,4.57,4.5,0.0,0.0,71.25,100.0,21600,Dia da Semana,Quarta-feira,Carga leve
216,06:15:00,1,3,4.64,4.61,0.0,0.0,70.94,100.0,22500,Dia da Semana,Quarta-feira,Carga leve
217,06:30:00,1,3,4.57,4.36,0.0,0.0,72.35,100.0,23400,Dia da Semana,Quarta-feira,Carga leve
218,06:45:00,1,3,4.61,4.54,0.0,0.0,71.25,100.0,24300,Dia da Semana,Quarta-feira,Carga leve
219,07:00:00,1,3,4.54,4.28,0.0,0.0,72.76,100.0,25200,Dia da Semana,Quarta-feira,Carga leve
220,07:15:00,1,3,4.46,4.18,0.0,0.0,72.96,100.0,26100,Dia da Semana,Quarta-feira,Carga leve
221,07:30:00,1,3,6.12,4.25,0.0,0.0,82.14,100.0,27000,Dia da Semana,Quarta-feira,Carga leve
222,07:45:00,1,3,7.92,4.68,0.0,0.0,86.09,100.0,27900,Dia da Semana,Quarta-feira,Carga leve
223,08:00:00,1,3,9.58,4.36,0.0,0.0,91.02,100.0,28800,Dia da Semana,Quarta-feira,Carga leve
224,08:15:00,1,3,37.01,21.56,0.0,0.02,86.41,100.0,29700,Dia da Semana,Quarta-feira,Carga leve
225,08:30:00,1,3,74.59,35.86,0.0,0.03,90.13,100.0,30600,Dia da Semana,Quarta-feira,Carga leve
226,08:45:00,1,3,109.48,53.32,0.0,0.05,89.9,100.0,31500,Dia da Semana,Quarta-feira,Carga leve
227,09:00:00,1,3,105.08,31.82,0.0,0.05,95.71,100.0,32400,Dia da Semana,Quarta-feira,Carga leve
